graph_name,vertex_count,coloring_method,n_threads,coloring_time,colors_used
kegg_dag_uniq.gra,3617,seq_greedy,8,00.000257,4
kegg_dag_uniq.gra,3617,seq_ldf,8,00.000437,3
kegg_dag_uniq.gra,3617,par_jp,8,00.000499,4
kegg_dag_uniq.gra,3617,par_ldf,8,00.000319,3
kegg_dag_uniq.gra,3617,par_ldf_plus,8,00.000511,3
kegg_dag_uniq.gra,3617,seq_greedy,8,00.000268,4
kegg_dag_uniq.gra,3617,seq_ldf,8,00.000434,3
kegg_dag_uniq.gra,3617,par_jp,8,00.000354,4
kegg_dag_uniq.gra,3617,par_ldf,8,00.000369,3
kegg_dag_uniq.gra,3617,par_ldf_plus,8,00.000438,3
kegg_dag_uniq.gra,3617,seq_greedy,8,00.000272,4
kegg_dag_uniq.gra,3617,seq_ldf,8,00.000439,3
kegg_dag_uniq.gra,3617,par_jp,8,00.000369,4
kegg_dag_uniq.gra,3617,par_ldf,8,00.000324,3
kegg_dag_uniq.gra,3617,par_ldf_plus,8,00.000496,3
kegg_dag_uniq.gra,3617,seq_greedy,8,00.000292,4
kegg_dag_uniq.gra,3617,seq_ldf,8,00.000477,3
kegg_dag_uniq.gra,3617,par_jp,8,00.000370,4
kegg_dag_uniq.gra,3617,par_ldf,8,00.007036,3
kegg_dag_uniq.gra,3617,par_ldf_plus,8,00.000451,3
kegg_dag_uniq.gra,3617,seq_greedy,8,00.000274,4
kegg_dag_uniq.gra,3617,seq_ldf,8,00.000440,3
kegg_dag_uniq.gra,3617,par_jp,8,00.000366,4
kegg_dag_uniq.gra,3617,par_ldf,8,00.000334,3
kegg_dag_uniq.gra,3617,par_ldf_plus,8,00.000424,3
kegg_dag_uniq.gra,3617,seq_greedy,8,00.000267,4
kegg_dag_uniq.gra,3617,seq_ldf,8,00.000432,3
kegg_dag_uniq.gra,3617,par_jp,8,00.000336,4
kegg_dag_uniq.gra,3617,par_ldf,8,00.035821,3
kegg_dag_uniq.gra,3617,par_ldf_plus,8,00.014370,3
kegg_dag_uniq.gra,3617,seq_greedy,8,00.000267,4
kegg_dag_uniq.gra,3617,seq_ldf,8,00.000431,3
