graph_name,vertex_count,coloring_method,n_threads,coloring_time,colors_used
kegg_dag_uniq.gra,3617,seq_greedy,4,00.000260,4
kegg_dag_uniq.gra,3617,seq_ldf,4,00.000437,3
kegg_dag_uniq.gra,3617,par_jp,4,00.000375,5
kegg_dag_uniq.gra,3617,par_ldf,4,00.000342,4
kegg_dag_uniq.gra,3617,par_ldf_plus,4,00.000435,3
kegg_dag_uniq.gra,3617,seq_greedy,4,00.000307,4
kegg_dag_uniq.gra,3617,seq_ldf,4,00.000458,3
kegg_dag_uniq.gra,3617,par_jp,4,00.000401,5
kegg_dag_uniq.gra,3617,par_ldf,4,00.000282,4
kegg_dag_uniq.gra,3617,par_ldf_plus,4,00.000399,3
kegg_dag_uniq.gra,3617,seq_greedy,4,00.000304,4
kegg_dag_uniq.gra,3617,seq_ldf,4,00.000457,3
kegg_dag_uniq.gra,3617,par_jp,4,00.000314,5
kegg_dag_uniq.gra,3617,par_ldf,4,00.000249,4
kegg_dag_uniq.gra,3617,par_ldf_plus,4,00.000342,3
kegg_dag_uniq.gra,3617,seq_greedy,4,00.000268,4
kegg_dag_uniq.gra,3617,seq_ldf,4,00.000433,3
kegg_dag_uniq.gra,3617,par_jp,4,00.000319,5
kegg_dag_uniq.gra,3617,par_ldf,4,00.000288,4
kegg_dag_uniq.gra,3617,par_ldf_plus,4,00.000326,3
kegg_dag_uniq.gra,3617,seq_greedy,4,00.000262,4
kegg_dag_uniq.gra,3617,seq_ldf,4,00.000427,3
kegg_dag_uniq.gra,3617,par_jp,4,00.000338,5
kegg_dag_uniq.gra,3617,par_ldf,4,00.000279,4
kegg_dag_uniq.gra,3617,par_ldf_plus,4,00.000358,3
kegg_dag_uniq.gra,3617,seq_greedy,4,00.000261,4
kegg_dag_uniq.gra,3617,seq_ldf,4,00.000425,3
kegg_dag_uniq.gra,3617,par_jp,4,00.000343,5
kegg_dag_uniq.gra,3617,par_ldf,4,00.000251,4
kegg_dag_uniq.gra,3617,par_ldf_plus,4,00.000346,3
kegg_dag_uniq.gra,3617,seq_greedy,4,00.000262,4
kegg_dag_uniq.gra,3617,seq_ldf,4,00.000427,3
kegg_dag_uniq.gra,3617,par_jp,4,00.000305,5
kegg_dag_uniq.gra,3617,par_ldf,4,00.000273,4
kegg_dag_uniq.gra,3617,par_ldf_plus,4,00.000359,3
kegg_dag_uniq.gra,3617,seq_greedy,4,00.000268,4
kegg_dag_uniq.gra,3617,seq_ldf,4,00.000436,3
kegg_dag_uniq.gra,3617,par_jp,4,00.000327,5
kegg_dag_uniq.gra,3617,par_ldf,4,00.000225,4
kegg_dag_uniq.gra,3617,par_ldf_plus,4,00.000344,3
kegg_dag_uniq.gra,3617,seq_greedy,4,00.000322,4
kegg_dag_uniq.gra,3617,seq_ldf,4,00.000523,3
kegg_dag_uniq.gra,3617,par_jp,4,00.000337,5
kegg_dag_uniq.gra,3617,par_ldf,4,00.000216,4
kegg_dag_uniq.gra,3617,par_ldf_plus,4,00.000335,3
kegg_dag_uniq.gra,3617,seq_greedy,4,00.000263,4
kegg_dag_uniq.gra,3617,seq_ldf,4,00.000427,3
kegg_dag_uniq.gra,3617,par_jp,4,00.000365,5
kegg_dag_uniq.gra,3617,par_ldf,4,00.000254,4
kegg_dag_uniq.gra,3617,par_ldf_plus,4,00.000324,3
kegg_dag_uniq.gra,3617,seq_greedy,4,00.000262,4
kegg_dag_uniq.gra,3617,seq_ldf,4,00.000428,3
kegg_dag_uniq.gra,3617,par_jp,4,00.000351,5
kegg_dag_uniq.gra,3617,par_ldf,4,00.000286,4
kegg_dag_uniq.gra,3617,par_ldf_plus,4,00.000409,3
